client_id,client_type,first_name,last_name,date_of_birth,gender,country,region,acquisition_purpose,satisfaction_score,loan_applied,referral_channel,age,cluster,Cluster_Name,segment
C0036,Individual,Victor,Jensen,1973-01-09,M,USA,California,Home,4,No,Website,53,1,C2,First-Time Buyers
C0037,Individual,Scarlet,Hendricks,1961-12-20,F,USA,California,Home,5,Yes,Website,65,2,C3,Corporate Buyers
C0038,Individual,Janelle,Espinoza,1973-12-25,F,USA,California,Investment,4,No,Client,53,1,C2,First-Time Buyers
C0039,Individual,Aleksandra,Karenina,1966-12-13,F,Russia,Krasnodar Krai,Home,1,No,Agency,60,3,C4,Luxury Investors
C0040,Individual,Conner,Huff,1974-12-22,M,USA,Nevada,Home,5,No,Website,52,1,C2,First-Time Buyers
C0041,Individual,Zain,Horne,1966-12-13,M,USA,Arizona,Home,1,Yes,Website,60,3,C4,Luxury Investors
C0042,Individual,Maia,Chandler,1975-12-08,F,USA,Utah,Home,1,Yes,Website,51,0,C1,Global Investors
C0043,Individual,Jordyn,Park,1965-04-04,M,USA,Nevada,Investment,3,Yes,Website,61,2,C3,Corporate Buyers
C0044,Individual,Diana,Hunt,1930-12-13,F,USA,Arizona,Home,3,No,Website,96,2,C3,Corporate Buyers
C0045,Individual,Kevin,Mata,1968-12-10,M,USA,Colorado,Investment,2,No,Agency,58,3,C4,Luxury Investors
C0046,Individual,Brisa,Mckee,1963-12-24,F,USA,California,Home,5,No,Client,63,2,C3,Corporate Buyers
C0047,Individual,Mason,Gilbert,1969-12-31,M,USA,Colorado,Home,2,No,Agency,57,3,C4,Luxury Investors
C0048,Individual,Derick,Li,1956-12-20,M,USA,California,Home,3,Yes,Agency,70,2,C3,Corporate Buyers
C0049,Individual,Jace,Riggs,1970-12-20,F,USA,California,Home,1,No,Website,56,3,C4,Luxury Investors
C0050,Individual,Jair,Johns,1940-05-03,M,USA,California,Home,5,No,Website,86,2,C3,Corporate Buyers
C0051,Individual,Matilda,Madden,1941-03-03,F,USA,Colorado,Home,3,No,Agency,85,2,C3,Corporate Buyers
C0052,Individual,Myla,Ewing,1967-03-02,F,USA,Oregon,Investment,2,No,Client,59,3,C4,Luxury Investors
C0053,Individual,Miguel,Walter,1954-07-01,M,USA,Arizona,Home,4,No,Agency,72,2,C3,Corporate Buyers
C0054,Company,Bridger CAL,Co,1966-12-15,M,USA,Nevada,Investment,5,No,Website,60,2,C3,Corporate Buyers
C0055,Individual,Mara,Franco,1973-07-06,F,USA,California,Home,5,Yes,Agency,53,1,C2,First-Time Buyers
C0056,Individual,Erik,Mora,1964-07-12,M,USA,Oregon,Investment,5,No,Agency,62,2,C3,Corporate Buyers
C0057,Individual,Henry,Kennedy,1933-08-06,M,USA,California,Home,4,Yes,Agency,93,2,C3,Corporate Buyers
C0058,Company,Kenyon,Co,1969-03-05,F,USA,California,Investment,1,Yes,Website,57,3,C4,Luxury Investors
C0059,Individual,Oswaldo,Palmer,1959-12-16,M,USA,California,Home,2,No,Website,67,3,C4,Luxury Investors
C0060,Individual,Kassidy,Vega,1972-07-05,F,USA,California,Home,5,No,Website,54,1,C2,First-Time Buyers
C0061,Individual,Morgan,Glass,1967-12-05,M,USA,Utah,Home,5,No,Agency,59,1,C2,First-Time Buyers
C0062,Individual,Tyler,Carr,1973-12-27,M,USA,California,Home,5,Yes,Client,53,1,C2,First-Time Buyers
C0063,Individual,Yesenia,Marquez,1941-12-23,F,USA,Arizona,Home,4,No,Website,85,2,C3,Corporate Buyers
C0064,Individual,Gordon,Brown,1974-10-02,M,UK,Northern Ireland,Investment,4,No,Agency,52,1,C2,First-Time Buyers
C0065,Individual,Rodrigo,Ramirez,1971-12-26,M,USA,California,Home,1,No,Agency,55,0,C1,Global Investors
C0066,Individual,Melanie,Holland,1973-12-25,F,USA,California,Investment,3,No,Client,53,1,C2,First-Time Buyers
C0067,Individual,Enrique,Cardenas,1977-10-06,M,USA,California,Home,2,No,Website,49,0,C1,Global Investors
C0068,Individual,Helen,Williamson,1965-12-26,F,USA,Colorado,Home,5,Yes,Agency,61,2,C3,Corporate Buyers
C0069,Individual,Isis,Rios,1970-01-04,M,USA,California,Investment,4,No,Website,56,1,C2,First-Time Buyers
C0070,Individual,Kayley,Nielsen,1946-12-27,F,USA,Arizona,Home,4,Yes,Website,80,2,C3,Corporate Buyers
C0071,Individual,Donavan,Flowers,1984-12-27,M,USA,California,Home,1,Yes,Client,42,0,C1,Global Investors
C0072,Individual,Augustus,Hinton,1953-03-02,M,USA,Nevada,Investment,2,No,Website,73,3,C4,Luxury Investors
C0073,Individual,Alejandra,Greer,1965-11-01,F,Denmark,Capital Region,Investment,1,No,Agency,61,3,C4,Luxury Investors
C0074,Individual,Violet,Nixon,1959-01-01,F,USA,Oregon,Investment,5,No,Client,67,2,C3,Corporate Buyers
C0075,Individual,Jaelyn,Berger,1970-05-05,F,USA,California,Home,3,No,Website,56,3,C4,Luxury Investors
C0076,Individual,Tristian,Fuller,1955-12-13,M,USA,California,Home,5,No,Agency,71,2,C3,Corporate Buyers
C0077,Individual,Christian,Costa,1979-12-14,M,USA,California,Home,5,No,Website,47,1,C2,First-Time Buyers
C0078,Individual,Nora,Lynch,1947-12-23,F,USA,California,Home,5,No,Website,79,2,C3,Corporate Buyers
C0079,Individual,Dangelo,Shea,1953-12-27,M,Belgium,Brussels,Investment,4,No,Website,73,2,C3,Corporate Buyers
C0080,Individual,Aiyana,Christensen,1948-12-16,F,USA,California,Investment,3,No,Website,78,2,C3,Corporate Buyers
C0081,Individual,Sidney,Cline,1942-12-24,F,USA,California,Home,4,Yes,Website,84,2,C3,Corporate Buyers
C0082,Individual,Kaitlin,Owen,1980-12-26,F,USA,Virginia,Investment,5,No,Client,46,1,C2,First-Time Buyers
C0083,Individual,Issac,Edwards,1937-12-29,M,USA,California,Home,5,No,Website,89,2,C3,Corporate Buyers
C0084,Individual,Zaiden,Merritt,1947-12-23,M,USA,Wyoming,Home,3,No,Agency,79,2,C3,Corporate Buyers
C0085,Individual,Iris,Larsen,1965-12-14,M,USA,California,Home,4,Yes,Agency,61,2,C3,Corporate Buyers
C0086,Individual,Grace,Stein,1967-12-20,F,USA,California,Home,3,Yes,Website,59,2,C3,Corporate Buyers
C0087,Individual,Alessandra,Perry,1978-12-15,F,USA,California,Home,4,No,Agency,48,1,C2,First-Time Buyers
C0088,Individual,Jamal,Mueller,1935-12-13,M,USA,Oregon,Investment,2,No,Website,91,3,C4,Luxury Investors
C0089,Individual,Irvin,Ellis,1948-12-14,M,USA,California,Home,3,No,Agency,78,2,C3,Corporate Buyers
C0090,Individual,Terry,Forbes,1981-12-27,M,USA,California,Home,5,No,Client,45,1,C2,First-Time Buyers
C0091,Individual,Jacqueline,Grant,1958-12-13,F,USA,California,Home,4,No,Website,68,2,C3,Corporate Buyers
C0092,Individual,Brock,Fischer,1970-12-29,M,USA,Kansas,Home,3,No,Website,56,3,C4,Luxury Investors
C0093,Individual,Curtis,Howard,1962-11-09,M,USA,California,Home,2,No,Agency,64,3,C4,Luxury Investors
C0094,Individual,Avah,Huang,1947-12-23,F,USA,California,Home,5,No,Website,79,2,C3,Corporate Buyers
C0095,Individual,Frank,Meyer,1963-12-16,M,USA,California,Home,3,Yes,Agency,63,2,C3,Corporate Buyers
C0096,Individual,Darien,Dorsey,1984-12-27,M,USA,California,Investment,3,Yes,Website,42,1,C2,First-Time Buyers
C0097,Individual,Franklin,Mack,1942-12-18,M,USA,Virginia,Home,5,Yes,Website,84,2,C3,Corporate Buyers
C0098,Individual,Elena,Petrova,1948-12-22,F,Russia,Saint Petersburg,Home,3,Yes,Agency,78,2,C3,Corporate Buyers
C0099,Individual,Jack,Hanson,1941-01-12,M,USA,California,Investment,4,No,Website,85,2,C3,Corporate Buyers
C0100,Individual,Emmett,Estes,1969-05-06,M,USA,California,Home,3,No,Website,57,3,C4,Luxury Investors
C0101,Individual,Aniya,Miller,1951-02-03,F,USA,Nevada,Home,3,No,Website,75,2,C3,Corporate Buyers
C0102,Individual,Jack,Anderson,1946-12-13,M,USA,California,Investment,5,Yes,Website,80,2,C3,Corporate Buyers
C0103,Individual,Kael,Hurley,1972-12-15,M,USA,Colorado,Home,3,No,Website,54,1,C2,First-Time Buyers
C0104,Individual,Kamden,Stewart,1977-12-14,M,USA,California,Home,5,No,Website,49,1,C2,First-Time Buyers
C0105,Individual,Aniyah,Ali,1959-03-11,F,USA,California,Investment,2,Yes,Website,67,3,C4,Luxury Investors
C0106,Individual,Simon,Bennett,1953-09-06,M,USA,Colorado,Home,4,No,Website,73,2,C3,Corporate Buyers
C0107,Individual,Laurel,Benitez,1959-06-08,M,USA,California,Home,4,Yes,Agency,67,2,C3,Corporate Buyers
C0108,Individual,Trey,Strong,1957-12-20,M,USA,California,Home,4,No,Agency,69,2,C3,Corporate Buyers
C0109,Individual,Myah,Roman,1933-05-05,F,USA,California,Investment,5,Yes,Agency,93,2,C3,Corporate Buyers
C0110,Individual,Nyla,Blake,1959-05-06,F,USA,California,Investment,5,Yes,Agency,67,2,C3,Corporate Buyers
C0111,Individual,Kole,Shannon,1978-12-27,M,USA,Arizona,Home,2,Yes,Website,48,0,C1,Global Investors
C0112,Individual,Melany,Glover,1960-01-10,F,USA,California,Investment,1,Yes,Agency,66,3,C4,Luxury Investors
C0113,Individual,Arthur,Bray,1948-12-14,M,USA,Utah,Investment,4,No,Agency,78,2,C3,Corporate Buyers
C0114,Individual,Kamila,Collier,1961-12-21,F,USA,California,Home,1,Yes,Website,65,3,C4,Luxury Investors
C0115,Individual,Amanda,Simon,1978-03-12,F,USA,California,Home,5,No,Agency,48,1,C2,First-Time Buyers
C0116,Individual,Erika,Steward,1955-07-08,F,USA,California,Investment,4,No,Website,71,2,C3,Corporate Buyers
C0117,Individual,Jakobe,Bailey,1964-06-10,M,UK,Scotland,Investment,4,No,Agency,62,2,C3,Corporate Buyers
C0118,Individual,Sonia,Choi,1948-09-11,F,USA,Oregon,Investment,5,No,Agency,78,2,C3,Corporate Buyers
C0119,Individual,Erika,Gallagher,1941-12-19,F,USA,California,Home,1,Yes,Website,85,3,C4,Luxury Investors
C0120,Individual,Madeline,Michael,1952-12-30,F,USA,California,Home,4,Yes,Website,74,2,C3,Corporate Buyers
C0121,Individual,Bennett,Chen,1949-12-18,M,USA,Nevada,Home,2,No,Website,77,3,C4,Luxury Investors
C0122,Individual,Belinda,Hogan,1972-12-18,F,USA,California,Home,1,Yes,Agency,54,0,C1,Global Investors
C0123,Individual,Johanna,Fisher,1961-12-25,F,USA,California,Home,4,Yes,Website,65,2,C3,Corporate Buyers
C0124,Individual,Jaylen,Turner,1962-12-15,F,USA,California,Home,4,No,Agency,64,2,C3,Corporate Buyers
C0125,Individual,Michael,Juarez,1975-12-25,M,USA,Colorado,Home,4,Yes,Agency,51,1,C2,First-Time Buyers
C0126,Individual,Adriana,Shaffer,1972-11-07,F,USA,California,Investment,2,No,Agency,54,0,C1,Global Investors
C0127,Individual,Julio,Leonard,1973-12-18,M,USA,Nevada,Home,2,Yes,Website,53,0,C1,Global Investors
C0128,Company,Abdiel,Co,1962-12-22,M,USA,Nevada,Investment,5,Yes,Website,64,2,C3,Corporate Buyers
C0129,Individual,Warren,Pugh,1972-12-17,M,USA,Arizona,Investment,5,No,Website,54,1,C2,First-Time Buyers
C0130,Individual,Luis,Crane,1958-12-20,M,USA,Nevada,Home,3,Yes,Website,68,2,C3,Corporate Buyers
C0131,Individual,Mohammad,Irwin,1971-02-12,M,USA,California,Home,1,No,Website,55,0,C1,Global Investors
C0132,Individual,Davion,Stout,1964-12-20,M,USA,Nevada,Home,1,Yes,Agency,62,3,C4,Luxury Investors
C0133,Individual,Logan,Simmons,1945-12-14,M,USA,California,Investment,4,No,Agency,81,2,C3,Corporate Buyers
C0134,Individual,Kaylin,Villarreal,1931-12-13,F,Russia,Novosibirsk,Investment,3,No,Website,95,2,C3,Corporate Buyers
C0135,Individual,Ruben,Melton,1939-05-03,M,USA,Utah,Investment,2,No,Agency,87,3,C4,Luxury Investors
C0136,Individual,Gianni,Fritz,1972-12-15,M,USA,California,Home,3,No,Website,54,1,C2,First-Time Buyers
C0137,Individual,Emilie,Morrison,1956-12-29,F,USA,California,Home,3,Yes,Website,70,2,C3,Corporate Buyers
C0138,Individual,Crystal,Wyatt,1938-12-30,F,USA,Oregon,Investment,3,Yes,Website,88,2,C3,Corporate Buyers
C0139,Individual,Annabel,Robles,1968-12-14,F,USA,California,Home,5,Yes,Website,58,1,C2,First-Time Buyers
C0140,Individual,Rachel,Cross,1951-12-18,F,USA,California,Home,3,No,Website,75,2,C3,Corporate Buyers
C0141,Individual,Madalyn,Mercer,1985-12-21,F,USA,California,Home,5,No,Website,41,1,C2,First-Time Buyers
C0142,Individual,Michelle,Cameron,1978-04-06,F,USA,Nevada,Home,3,Yes,Website,48,1,C2,First-Time Buyers
C0143,Individual,Ezra,Lozano,1957-12-24,M,USA,California,Home,1,No,Website,69,3,C4,Luxury Investors
C0144,Individual,Ramiro,Oneill,1953-12-29,M,USA,California,Home,4,No,Agency,73,2,C3,Corporate Buyers
C0145,Individual,Emely,Watts,1963-12-30,F,USA,California,Home,4,No,Website,63,2,C3,Corporate Buyers
C0146,Individual,Hazel,Ayers,1963-01-02,M,USA,Colorado,Home,2,No,Website,63,3,C4,Luxury Investors
C0147,Individual,Cedric,Goodwin,1947-12-20,M,USA,Utah,Home,4,No,Client,79,2,C3,Corporate Buyers
C0148,Individual,Dayton,Hatfield,1968-12-19,M,USA,Colorado,Investment,4,Yes,Agency,58,2,C3,Corporate Buyers
C0149,Individual,Piotr,Aleksandrov,1955-02-12,M,Russia,Krasnodar Krai,Investment,3,No,Agency,71,2,C3,Corporate Buyers
C0150,Individual,Memphis,Mcconnell,1967-12-25,M,USA,California,Home,2,Yes,Website,59,3,C4,Luxury Investors
C0151,Individual,Arabella,Ferrell,1975-12-17,F,USA,Oregon,Home,1,No,Agency,51,0,C1,Global Investors
C0152,Individual,Sincere,Hansen,1966-12-19,F,USA,California,Investment,2,Yes,Agency,60,3,C4,Luxury Investors
C0153,Individual,Lara,Carrillo,1982-12-24,F,USA,California,Home,5,No,Website,44,1,C2,First-Time Buyers
C0154,Individual,Valentina,Simpson,1964-12-24,F,USA,California,Home,4,Yes,Agency,62,2,C3,Corporate Buyers
C0155,Company,Kamd,Co,1974-12-18,M,USA,California,Investment,5,No,Agency,52,1,C2,First-Time Buyers
C0156,Individual,Case,Sanchez,1965-12-26,F,USA,California,Home,5,No,Website,61,2,C3,Corporate Buyers
C0157,Individual,Van,Charles,1951-12-15,M,USA,Colorado,Home,2,Yes,Client,75,3,C4,Luxury Investors
C0158,Individual,Emmy,Singh,1979-03-12,F,USA,Virginia,Investment,3,Yes,Agency,47,1,C2,First-Time Buyers
C0159,Individual,Colin,Campos,1941-12-14,M,USA,California,Home,3,No,Website,85,2,C3,Corporate Buyers
C0160,Individual,Anya,Stephenson,1959-11-06,F,USA,California,Home,4,No,Website,67,2,C3,Corporate Buyers
C0161,Individual,Parker,Poole,1951-10-11,M,USA,California,Home,5,No,Website,75,2,C3,Corporate Buyers
C0162,Individual,Ivan,Bright,1952-12-15,M,USA,California,Home,4,No,Website,74,2,C3,Corporate Buyers
C0163,Individual,Larry,Turner,1985-12-24,M,USA,Utah,Investment,5,Yes,Agency,41,1,C2,First-Time Buyers
C0164,Individual,Matthew,Nelson,1985-12-20,M,USA,Arizona,Home,5,No,Website,41,1,C2,First-Time Buyers
C0165,Individual,Mary,Hall,1956-11-07,F,USA,California,Home,3,Yes,Website,70,2,C3,Corporate Buyers
C0166,Individual,Carolyn,Weaver,1983-12-24,F,USA,Arizona,Home,4,Yes,Agency,43,1,C2,First-Time Buyers
C0167,Individual,Grace,Green,1955-02-02,F,UK,Scotland,Home,3,Yes,Website,71,2,C3,Corporate Buyers
C0168,Individual,Pamela,Sanders,1960-06-06,F,USA,Nevada,Home,3,No,Agency,66,2,C3,Corporate Buyers
C0169,Individual,Terry,Turner,1989-12-13,M,USA,Ohio,Investment,5,Yes,Agency,37,1,C2,First-Time Buyers
C0170,Individual,Jacob,Jones,1948-12-13,M,USA,California,Home,5,No,Website,78,2,C3,Corporate Buyers
C0171,Individual,Julie,Sanders,1991-05-05,F,USA,Washington,Investment,5,Yes,Client,35,1,C2,First-Time Buyers
C0172,Individual,Catherine,Carter,1991-12-16,F,USA,Washington,Home,1,Yes,Agency,35,0,C1,Global Investors
C0173,Individual,Amber,Wilson,1975-12-20,F,USA,Arizona,Home,5,Yes,Agency,51,1,C2,First-Time Buyers
C0174,Individual,Rachel,Harris,1982-06-07,F,USA,California,Investment,3,No,Client,44,1,C2,First-Time Buyers
C0175,Individual,Brandon,Alexander,1962-05-04,M,USA,Washington,Home,5,No,Agency,64,2,C3,Corporate Buyers
C0176,Individual,Hannah,Williams,1992-12-27,F,USA,California,Home,2,No,Website,34,0,C1,Global Investors
C0177,Individual,Sarah,Hansen,1951-05-03,F,UK,England,Home,5,Yes,Website,75,2,C3,Corporate Buyers
C0178,Individual,Laura,Chavez,1951-12-23,F,USA,Virginia,Home,4,No,Agency,75,2,C3,Corporate Buyers
C0179,Individual,Ashley,Turner,1986-11-02,F,USA,Oregon,Investment,2,No,Website,40,0,C1,Global Investors
C0180,Individual,Jacob,Wilson,1942-12-28,M,USA,California,Home,2,Yes,Agency,84,3,C4,Luxury Investors
C0181,Individual,Lawrence,Peterson,1969-12-26,M,USA,Texas,Home,2,Yes,Website,57,3,C4,Luxury Investors
C0182,Individual,Virginia,Bennett,1971-02-12,F,Germany,North Rhine-Westphalia,Investment,1,Yes,Website,55,0,C1,Global Investors
C0183,Individual,Nicholas,Green,1987-12-15,M,USA,Nevada,Home,3,No,Website,39,1,C2,First-Time Buyers
C0184,Individual,Peter,Pierce,1993-12-21,M,USA,Florida,Home,1,No,Website,33,0,C1,Global Investors
C0185,Individual,Andrea,Nelson,1945-02-07,F,USA,Nevada,Home,4,Yes,Agency,81,2,C3,Corporate Buyers
C0186,Individual,Carol,Green,1982-02-04,F,USA,Virginia,Home,1,No,Website,44,0,C1,Global Investors
C0187,Individual,Cheryl,Kim,1989-12-17,F,USA,Florida,Home,1,No,Website,37,0,C1,Global Investors
C0188,Individual,Jose,Martin,1940-08-10,M,USA,Oregon,Home,5,Yes,Website,86,2,C3,Corporate Buyers
C0189,Individual,Anna,Adams,1958-11-12,F,USA,California,Home,2,No,Agency,68,3,C4,Luxury Investors
C0190,Individual,Karen,Johnson,1970-12-19,F,USA,California,Home,2,No,Website,56,3,C4,Luxury Investors
C0191,Individual,Sarah,Turner,1977-06-05,F,USA,Florida,Home,3,No,Agency,49,1,C2,First-Time Buyers
C0192,Individual,Margaret,Moore,1984-04-02,F,Belgium,Brussels,Investment,2,Yes,Website,42,0,C1,Global Investors
C0193,Individual,Sharon,Campbell,1968-09-08,F,USA,California,Investment,4,Yes,Website,58,2,C3,Corporate Buyers
C0194,Individual,Jonathan,Hall,1952-12-18,M,France,Ile-de-France,Home,5,Yes,Website,74,2,C3,Corporate Buyers
C0195,Individual,Sean,Jones,1946-12-19,M,USA,California,Home,2,Yes,Website,80,3,C4,Luxury Investors
C0196,Individual,Alexander,Adams,1956-12-22,M,USA,Nevada,Investment,5,No,Agency,70,2,C3,Corporate Buyers
C0197,Individual,Kevin,Wright,1944-01-07,M,USA,Virginia,Home,4,No,Client,82,2,C3,Corporate Buyers
C0198,Individual,Michelle,White,1975-12-28,F,USA,California,Home,4,No,Website,51,1,C2,First-Time Buyers
C0199,Individual,Ryan,Brown,1957-12-13,M,USA,California,Home,3,No,Agency,69,2,C3,Corporate Buyers
C0200,Individual,Linda,Harris,1944-06-05,F,USA,California,Home,1,No,Agency,82,3,C4,Luxury Investors
C0201,Individual,Lauren,Weaver,1967-12-13,F,USA,California,Home,1,No,Agency,59,3,C4,Luxury Investors
C0202,Individual,Jack,Reyes,1996-11-11,M,Canada,British Columbia,Home,1,No,Website,30,0,C1,Global Investors
C0203,Individual,Christine,Brooks,1955-12-18,F,USA,California,Home,4,No,Client,71,2,C3,Corporate Buyers
C0204,Individual,Joyce,Pierce,1947-10-01,F,USA,California,Home,5,No,Agency,79,2,C3,Corporate Buyers
C0205,Individual,Kelly,Nelson,1967-12-26,F,Mexico,Puebla,Home,1,Yes,Agency,59,3,C4,Luxury Investors
C0206,Individual,Nancy,Roberts,1957-08-05,F,USA,California,Home,1,Yes,Agency,69,3,C4,Luxury Investors
C0207,Individual,Kyle,Gray,1943-12-19,M,USA,Virginia,Investment,4,No,Website,83,2,C3,Corporate Buyers
C0208,Individual,Mark,James,1985-12-26,M,France,Provence,Home,4,Yes,Agency,41,1,C2,First-Time Buyers
C0209,Individual,Kyle,Moore,1948-12-22,M,USA,Arizona,Investment,3,No,Agency,78,2,C3,Corporate Buyers
C0210,Individual,Janice,Price,1942-12-24,F,USA,Colorado,Home,2,No,Website,84,3,C4,Luxury Investors
C0211,Individual,Amy,Evans,1971-12-23,F,USA,California,Home,3,No,Agency,55,3,C4,Luxury Investors
C0212,Individual,Jacob,Wood,1955-12-23,M,USA,California,Home,4,No,Agency,71,2,C3,Corporate Buyers
C0213,Individual,Jason,Gray,1975-12-23,M,USA,Florida,Investment,5,No,Agency,51,1,C2,First-Time Buyers
C0214,Individual,Helen,Wood,1945-12-18,F,Belgium,Brussels,Investment,5,No,Website,81,2,C3,Corporate Buyers
C0215,Individual,Lauren,Foster,1999-11-07,F,Germany,Hamburg,Investment,4,No,Website,27,1,C2,First-Time Buyers
C0216,Individual,Albert,Hansen,1998-12-19,M,USA,Utah,Home,1,No,Website,28,0,C1,Global Investors
C0217,Individual,Deborah,Miller,1984-11-07,F,USA,Colorado,Home,3,No,Website,42,1,C2,First-Time Buyers
C0218,Individual,Shirley,Anderson,1969-12-24,F,USA,California,Home,2,No,Website,57,3,C4,Luxury Investors
C0219,Individual,William,Turner,1987-12-20,M,USA,California,Home,4,No,Website,39,1,C2,First-Time Buyers
C0220,Individual,Walter,Phillips,1951-06-06,M,Canada,Ontario,Investment,1,No,Website,75,3,C4,Luxury Investors
C0221,Company,Atlas,Co,1986-12-14,F,USA,California,Home,5,No,Website,40,1,C2,First-Time Buyers
C0222,Individual,Christopher,Stone,1956-08-11,M,USA,Utah,Investment,3,No,Agency,70,2,C3,Corporate Buyers
C0223,Individual,Patrick,Hansen,1973-12-11,M,USA,Colorado,Investment,3,Yes,Website,53,1,C2,First-Time Buyers
C0224,Individual,Nathan,Richardson,1959-12-23,M,USA,Colorado,Home,5,No,Website,67,2,C3,Corporate Buyers
C0225,Individual,Evelyn,Reyes,1947-12-19,F,USA,California,Home,1,Yes,Agency,79,3,C4,Luxury Investors
C0226,Individual,Julia,Jordan,1958-11-07,F,USA,Colorado,Home,2,No,Website,68,3,C4,Luxury Investors
C0227,Individual,Rachel,Evans,1943-12-23,F,USA,Arizona,Home,5,Yes,Website,83,2,C3,Corporate Buyers
C0228,Individual,Hannah,Owens,1951-12-23,F,USA,Oregon,Investment,4,No,Website,75,2,C3,Corporate Buyers
C0229,Individual,Jose,Turner,1980-12-19,M,USA,Colorado,Investment,5,No,Website,46,1,C2,First-Time Buyers
C0230,Company,Forsyte,Co,1976-12-22,M,USA,Nevada,Investment,4,Yes,Website,50,1,C2,First-Time Buyers
C0231,Individual,Ronald,Rogers,1992-12-18,M,Denmark,Central Denmark,Investment,2,Yes,Website,34,0,C1,Global Investors
