client_id,client_type,first_name,last_name,date_of_birth,gender,country,region,acquisition_purpose,satisfaction_score,loan_applied,referral_channel
C0037,Individual,Scarlet,Hendricks,12-20-1961,F,USA,California,Home,5,Yes,Website
C0038,Individual,Janelle,Espinoza,12-25-1973,F,USA,California,Investment,4,No,Client
C0039,Individual,Aleksandra,Karenina,12-13-1966,F,Russia,Krasnodar Krai,Home,1,No,Agency
C0040,Individual,Conner,Huff,12-22-1974,M,USA,Nevada,Home,5,No,Website
C0041,Individual,Zain,Horne,12-13-1966,M,USA,Arizona,Home,1,Yes,Website
C0042,Individual,Maia,Chandler,12-08-1975,F,USA,Utah,Home,1,Yes,Website
C0043,Individual,Jordyn,Park,04-04-1965,M,USA,Nevada,Investment,3,Yes,Website
C0044,Individual,Diana,Hunt,12-13-1930,F,USA,Arizona,Home,3,No,Website
C0045,Individual,Kevin,Mata,12-10-1968,M,USA,Colorado,Investment,2,No,Agency
C0046,Individual,Brisa,Mckee,12-24-1963,F,USA,California,Home,5,No,Client
C0047,Individual,Mason,Gilbert,12-31-1969,M,USA,Colorado,Home,2,No,Agency
C0048,Individual,Derick,Li,12-20-1956,M,USA,California,Home,3,Yes,Agency
C0049,Individual,Jace,Riggs,12-20-1970,F,USA,California,Home,1,No,Website
C0050,Individual,Jair,Johns,05-03-1940,M,USA,California,Home,5,No,Website
C0051,Individual,Matilda,Madden,03-03-1941,F,USA,Colorado,Home,3,No,Agency
C0052,Individual,Myla,Ewing,03-02-1967,F,USA,Oregon,Investment,2,No,Client
C0053,Individual,Miguel,Walter,07-01-1954,M,USA,Arizona,Home,4,No,Agency
C0054,Company,Bridger CAL,Co,12-15-1966,M,USA,Nevada,Investment,5,No,Website
C0055,Individual,Mara,Franco,07-06-1973,F,USA,California,Home,5,Yes,Agency
C0056,Individual,Erik,Mora,07-12-1964,M,USA,Oregon,Investment,5,No,Agency
C0057,Individual,Henry,Kennedy,08-06-1933,M,USA,California,Home,4,Yes,Agency
C0058,Company,Kenyon,Co,03-05-1969,F,USA,California,Investment,1,Yes,Website
C0059,Individual,Oswaldo,Palmer,12-16-1959,M,USA,California,Home,2,No,Website
C0060,Individual,Kassidy,Vega,07-05-1972,F,USA,California,Home,5,No,Website
C0061,Individual,Morgan,Glass,12-05-1967,M,USA,Utah,Home,5,No,Agency
C0062,Individual,Tyler,Carr,12-27-1973,M,USA,California,Home,5,Yes,Client
C0063,Individual,Yesenia,Marquez,12-23-1941,F,USA,Arizona,Home,4,No,Website
C0064,Individual,Gordon,Brown,10-02-1974,M,UK,Northern Ireland,Investment,4,No,Agency
C0065,Individual,Rodrigo,Ramirez,12-26-1971,M,USA,California,Home,1,No,Agency
C0066,Individual,Melanie,Holland,12-25-1973,F,USA,California,Investment,3,No,Client
C0067,Individual,Enrique,Cardenas,10-06-1977,M,USA,California,Home,2,No,Website
C0068,Individual,Helen,Williamson,12-26-1965,F,USA,Colorado,Home,5,Yes,Agency
C0069,Individual,Isis,Rios,01-04-1970,M,USA,California,Investment,4,No,Website
C0070,Individual,Kayley,Nielsen,12-27-1946,F,USA,Arizona,Home,4,Yes,Website
C0071,Individual,Donavan,Flowers,12-27-1984,M,USA,California,Home,1,Yes,Client
C0072,Individual,Augustus,Hinton,03-02-1953,M,USA,Nevada,Investment,2,No,Website
C0073,Individual,Alejandra,Greer,11-01-1965,F,Denmark,Capital Region,Investment,1,No,Agency
C0074,Individual,Violet,Nixon,01-01-1959,F,USA,Oregon,Investment,5,No,Client
C0075,Individual,Jaelyn,Berger,05-05-1970,F,USA,California,Home,3,No,Website
C0076,Individual,Tristian,Fuller,12-13-1955,M,USA,California,Home,5,No,Agency
C0077,Individual,Christian,Costa,12-14-1979,M,USA,California,Home,5,No,Website
C0078,Individual,Nora,Lynch,12-23-1947,F,USA,California,Home,5,No,Website
C0079,Individual,Dangelo,Shea,12-27-1953,M,Belgium,Brussels,Investment,4,No,Website
C0080,Individual,Aiyana,Christensen,12-16-1948,F,USA,California,Investment,3,No,Website
C0081,Individual,Sidney,Cline,12-24-1942,F,USA,California,Home,4,Yes,Website
C0082,Individual,Kaitlin,Owen,12-26-1980,F,USA,Virginia,Investment,5,No,Client
C0083,Individual,Issac,Edwards,12-29-1937,M,USA,California,Home,5,No,Website
C0084,Individual,Zaiden,Merritt,12-23-1947,M,USA,Wyoming,Home,3,No,Agency
C0085,Individual,Iris,Larsen,12-14-1965,M,USA,California,Home,4,Yes,Agency
C0086,Individual,Grace,Stein,12-20-1967,F,USA,California,Home,3,Yes,Website
C0087,Individual,Alessandra,Perry,12-15-1978,F,USA,California,Home,4,No,Agency
C0088,Individual,Jamal,Mueller,12-13-1935,M,USA,Oregon,Investment,2,No,Website
C0089,Individual,Irvin,Ellis,12-14-1948,M,USA,California,Home,3,No,Agency
C0090,Individual,Terry,Forbes,12-27-1981,M,USA,California,Home,5,No,Client
C0091,Individual,Jacqueline,Grant,12-13-1958,F,USA,California,Home,4,No,Website
C0092,Individual,Brock,Fischer,12-29-1970,M,USA,Kansas,Home,3,No,Website
C0093,Individual,Curtis,Howard,11-09-1962,M,USA,California,Home,2,No,Agency
C0094,Individual,Avah,Huang,12-23-1947,F,USA,California,Home,5,No,Website
C0095,Individual,Frank,Meyer,12-16-1963,M,USA,California,Home,3,Yes,Agency
C0096,Individual,Darien,Dorsey,12-27-1984,M,USA,California,Investment,3,Yes,Website
C0097,Individual,Franklin,Mack,12-18-1942,M,USA,Virginia,Home,5,Yes,Website
C0098,Individual,Elena,Petrova,12-22-1948,F,Russia,Saint Petersburg,Home,3,Yes,Agency
C0099,Individual,Jack,Hanson,01-12-1941,M,USA,California,Investment,4,No,Website
C0100,Individual,Emmett,Estes,05-06-1969,M,USA,California,Home,3,No,Website
C0101,Individual,Aniya,Miller,02-03-1951,F,USA,Nevada,Home,3,No,Website
C0102,Individual,Jack,Anderson,12-13-1946,M,USA,California,Investment,5,Yes,Website
C0103,Individual,Kael,Hurley,12-15-1972,M,USA,Colorado,Home,3,No,Website
C0104,Individual,Kamden,Stewart,12-14-1977,M,USA,California,Home,5,No,Website
C0105,Individual,Aniyah,Ali,03-11-1959,F,USA,California,Investment,2,Yes,Website
C0106,Individual,Simon,Bennett,09-06-1953,M,USA,Colorado,Home,4,No,Website
C0107,Individual,Laurel,Benitez,06-08-1959,M,USA,California,Home,4,Yes,Agency
C0108,Individual,Trey,Strong,12-20-1957,M,USA,California,Home,4,No,Agency
C0109,Individual,Myah,Roman,05-05-1933,F,USA,California,Investment,5,Yes,Agency
C0110,Individual,Nyla,Blake,05-06-1959,F,USA,California,Investment,5,Yes,Agency
C0111,Individual,Kole,Shannon,12-27-1978,M,USA,Arizona,Home,2,Yes,Website
C0112,Individual,Melany,Glover,01-10-1960,F,USA,California,Investment,1,Yes,Agency
C0113,Individual,Arthur,Bray,12-14-1948,M,USA,Utah,Investment,4,No,Agency
C0114,Individual,Kamila,Collier,12-21-1961,F,USA,California,Home,1,Yes,Website
C0115,Individual,Amanda,Simon,03-12-1978,F,USA,California,Home,5,No,Agency
C0116,Individual,Erika,Steward,07-08-1955,F,USA,California,Investment,4,No,Website
C0117,Individual,Jakobe,Bailey,06-10-1964,M,UK,Scotland,Investment,4,No,Agency
C0118,Individual,Sonia,Choi,09-11-1948,F,USA,Oregon,Investment,5,No,Agency
C0119,Individual,Erika,Gallagher,12-19-1941,F,USA,California,Home,1,Yes,Website
C0120,Individual,Madeline,Michael,12-30-1952,F,USA,California,Home,4,Yes,Website
C0121,Individual,Bennett,Chen,12-18-1949,M,USA,Nevada,Home,2,No,Website
C0122,Individual,Belinda,Hogan,12-18-1972,F,USA,California,Home,1,Yes,Agency
C0123,Individual,Johanna,Fisher,12-25-1961,F,USA,California,Home,4,Yes,Website
C0124,Individual,Jaylen,Turner,12-15-1962,F,USA,California,Home,4,No,Agency
C0125,Individual,Michael,Juarez,12-25-1975,M,USA,Colorado,Home,4,Yes,Agency
C0126,Individual,Adriana,Shaffer,11-07-1972,F,USA,California,Investment,2,No,Agency
C0127,Individual,Julio,Leonard,12-18-1973,M,USA,Nevada,Home,2,Yes,Website
C0128,Company,Abdiel,Co,12-22-1962,M,USA,Nevada,Investment,5,Yes,Website
C0129,Individual,Warren,Pugh,12-17-1972,M,USA,Arizona,Investment,5,No,Website
C0130,Individual,Luis,Crane,12-20-1958,M,USA,Nevada,Home,3,Yes,Website
C0131,Individual,Mohammad,Irwin,02-12-1971,M,USA,California,Home,1,No,Website
C0132,Individual,Davion,Stout,12-20-1964,M,USA,Nevada,Home,1,Yes,Agency
C0133,Individual,Logan,Simmons,12-14-1945,M,USA,California,Investment,4,No,Agency
C0134,Individual,Kaylin,Villarreal,12-13-1931,F,Russia,Novosibirsk,Investment,3,No,Website
C0135,Individual,Ruben,Melton,05-03-1939,M,USA,Utah,Investment,2,No,Agency
C0136,Individual,Gianni,Fritz,12-15-1972,M,USA,California,Home,3,No,Website
C0137,Individual,Emilie,Morrison,12-29-1956,F,USA,California,Home,3,Yes,Website
C0138,Individual,Crystal,Wyatt,12-30-1938,F,USA,Oregon,Investment,3,Yes,Website
C0139,Individual,Annabel,Robles,12-14-1968,F,USA,California,Home,5,Yes,Website
C0140,Individual,Rachel,Cross,12-18-1951,F,USA,California,Home,3,No,Website
C0141,Individual,Madalyn,Mercer,12-21-1985,F,USA,California,Home,5,No,Website
C0142,Individual,Michelle,Cameron,04-06-1978,F,USA,Nevada,Home,3,Yes,Website
C0143,Individual,Ezra,Lozano,12-24-1957,M,USA,California,Home,1,No,Website
C0144,Individual,Ramiro,Oneill,12-29-1953,M,USA,California,Home,4,No,Agency
C0145,Individual,Emely,Watts,12-30-1963,F,USA,California,Home,4,No,Website
C0146,Individual,Hazel,Ayers,01-02-1963,M,USA,Colorado,Home,2,No,Website
C0147,Individual,Cedric,Goodwin,12-20-1947,M,USA,Utah,Home,4,No,Client
C0148,Individual,Dayton,Hatfield,12-19-1968,M,USA,Colorado,Investment,4,Yes,Agency
C0149,Individual,Piotr,Aleksandrov,02-12-1955,M,Russia,Krasnodar Krai,Investment,3,No,Agency
C0150,Individual,Memphis,Mcconnell,12-25-1967,M,USA,California,Home,2,Yes,Website
C0151,Individual,Arabella,Ferrell,12-17-1975,F,USA,Oregon,Home,1,No,Agency
C0152,Individual,Sincere,Hansen,12-19-1966,F,USA,California,Investment,2,Yes,Agency
C0153,Individual,Lara,Carrillo,12-24-1982,F,USA,California,Home,5,No,Website
C0154,Individual,Valentina,Simpson,12-24-1964,F,USA,California,Home,4,Yes,Agency
C0155,Company,Kamd,Co,12-18-1974,M,USA,California,Investment,5,No,Agency
C0156,Individual,Case,Sanchez,12-26-1965,F,USA,California,Home,5,No,Website
C0157,Individual,Van,Charles,12-15-1951,M,USA,Colorado,Home,2,Yes,Client
C0158,Individual,Emmy,Singh,03-12-1979,F,USA,Virginia,Investment,3,Yes,Agency
C0159,Individual,Colin,Campos,12-14-1941,M,USA,California,Home,3,No,Website
C0160,Individual,Anya,Stephenson,11-06-1959,F,USA,California,Home,4,No,Website
C0161,Individual,Parker,Poole,10-11-1951,M,USA,California,Home,5,No,Website
C0162,Individual,Ivan,Bright,12-15-1952,M,USA,California,Home,4,No,Website
C0163,Individual,Larry,Turner,12-24-1985,M,USA,Utah,Investment,5,Yes,Agency
C0164,Individual,Matthew,Nelson,12-20-1985,M,USA,Arizona,Home,5,No,Website
C0165,Individual,Mary,Hall,11-07-1956,F,USA,California,Home,3,Yes,Website
C0166,Individual,Carolyn,Weaver,12-24-1983,F,USA,Arizona,Home,4,Yes,Agency
C0167,Individual,Grace,Green,02-02-1955,F,UK,Scotland,Home,3,Yes,Website
C0168,Individual,Pamela,Sanders,06-06-1960,F,USA,Nevada,Home,3,No,Agency
C0169,Individual,Terry,Turner,12-13-1989,M,USA,Ohio,Investment,5,Yes,Agency
C0170,Individual,Jacob,Jones,12-13-1948,M,USA,California,Home,5,No,Website
C0171,Individual,Julie,Sanders,05-05-1991,F,USA,Washington,Investment,5,Yes,Client
C0172,Individual,Catherine,Carter,12-16-1991,F,USA,Washington,Home,1,Yes,Agency
C0173,Individual,Amber,Wilson,12-20-1975,F,USA,Arizona,Home,5,Yes,Agency
C0174,Individual,Rachel,Harris,06-07-1982,F,USA,California,Investment,3,No,Client
C0175,Individual,Brandon,Alexander,05-04-1962,M,USA,Washington,Home,5,No,Agency
C0176,Individual,Hannah,Williams,12-27-1992,F,USA,California,Home,2,No,Website
C0177,Individual,Sarah,Hansen,05-03-1951,F,UK,England,Home,5,Yes,Website
C0178,Individual,Laura,Chavez,12-23-1951,F,USA,Virginia,Home,4,No,Agency
C0179,Individual,Ashley,Turner,11-02-1986,F,USA,Oregon,Investment,2,No,Website
C0180,Individual,Jacob,Wilson,12-28-1942,M,USA,California,Home,2,Yes,Agency
C0181,Individual,Lawrence,Peterson,12-26-1969,M,USA,Texas,Home,2,Yes,Website
C0182,Individual,Virginia,Bennett,02-12-1971,F,Germany,North Rhine-Westphalia,Investment,1,Yes,Website
C0183,Individual,Nicholas,Green,12-15-1987,M,USA,Nevada,Home,3,No,Website
C0184,Individual,Peter,Pierce,12-21-1993,M,USA,Florida,Home,1,No,Website
C0185,Individual,Andrea,Nelson,02-07-1945,F,USA,Nevada,Home,4,Yes,Agency
C0186,Individual,Carol,Green,02-04-1982,F,USA,Virginia,Home,1,No,Website
C0187,Individual,Cheryl,Kim,12-17-1989,F,USA,Florida,Home,1,No,Website
C0188,Individual,Jose,Martin,08-10-1940,M,USA,Oregon,Home,5,Yes,Website
C0189,Individual,Anna,Adams,11-12-1958,F,USA,California,Home,2,No,Agency
C0190,Individual,Karen,Johnson,12-19-1970,F,USA,California,Home,2,No,Website
C0191,Individual,Sarah,Turner,06-05-1977,F,USA,Florida,Home,3,No,Agency
C0192,Individual,Margaret,Moore,04-02-1984,F,Belgium,Brussels,Investment,2,Yes,Website
C0193,Individual,Sharon,Campbell,09-08-1968,F,USA,California,Investment,4,Yes,Website
C0194,Individual,Jonathan,Hall,12-18-1952,M,France,Ile-de-France,Home,5,Yes,Website
C0195,Individual,Sean,Jones,12-19-1946,M,USA,California,Home,2,Yes,Website
C0196,Individual,Alexander,Adams,12-22-1956,M,USA,Nevada,Investment,5,No,Agency
C0197,Individual,Kevin,Wright,01-07-1944,M,USA,Virginia,Home,4,No,Client
C0198,Individual,Michelle,White,12-28-1975,F,USA,California,Home,4,No,Website
C0199,Individual,Ryan,Brown,12-13-1957,M,USA,California,Home,3,No,Agency
C0200,Individual,Linda,Harris,06-05-1944,F,USA,California,Home,1,No,Agency
C0201,Individual,Lauren,Weaver,12-13-1967,F,USA,California,Home,1,No,Agency
C0202,Individual,Jack,Reyes,11-11-1996,M,Canada,British Columbia,Home,1,No,Website
C0203,Individual,Christine,Brooks,12-18-1955,F,USA,California,Home,4,No,Client
C0204,Individual,Joyce,Pierce,10-01-1947,F,USA,California,Home,5,No,Agency
C0205,Individual,Kelly,Nelson,12-26-1967,F,Mexico,Puebla,Home,1,Yes,Agency
C0206,Individual,Nancy,Roberts,08-05-1957,F,USA,California,Home,1,Yes,Agency
C0207,Individual,Kyle,Gray,12-19-1943,M,USA,Virginia,Investment,4,No,Website
C0208,Individual,Mark,James,12-26-1985,M,France,Provence,Home,4,Yes,Agency
C0209,Individual,Kyle,Moore,12-22-1948,M,USA,Arizona,Investment,3,No,Agency
C0210,Individual,Janice,Price,12-24-1942,F,USA,Colorado,Home,2,No,Website
C0211,Individual,Amy,Evans,12-23-1971,F,USA,California,Home,3,No,Agency
C0212,Individual,Jacob,Wood,12-23-1955,M,USA,California,Home,4,No,Agency
C0213,Individual,Jason,Gray,12-23-1975,M,USA,Florida,Investment,5,No,Agency
C0214,Individual,Helen,Wood,12-18-1945,F,Belgium,Brussels,Investment,5,No,Website
C0215,Individual,Lauren,Foster,11-07-1999,F,Germany,Hamburg,Investment,4,No,Website
C0216,Individual,Albert,Hansen,12-19-1998,M,USA,Utah,Home,1,No,Website
C0217,Individual,Deborah,Miller,11-07-1984,F,USA,Colorado,Home,3,No,Website
C0218,Individual,Shirley,Anderson,12-24-1969,F,USA,California,Home,2,No,Website
C0219,Individual,William,Turner,12-20-1987,M,USA,California,Home,4,No,Website
C0220,Individual,Walter,Phillips,06-06-1951,M,Canada,Ontario,Investment,1,No,Website
C0221,Company,Atlas,Co,12-14-1986,F,USA,California,Home,5,No,Website
C0222,Individual,Christopher,Stone,08-11-1956,M,USA,Utah,Investment,3,No,Agency
C0223,Individual,Patrick,Hansen,12-11-1973,M,USA,Colorado,Investment,3,Yes,Website
C0224,Individual,Nathan,Richardson,12-23-1959,M,USA,Colorado,Home,5,No,Website
C0225,Individual,Evelyn,Reyes,12-19-1947,F,USA,California,Home,1,Yes,Agency
C0226,Individual,Julia,Jordan,11-07-1958,F,USA,Colorado,Home,2,No,Website
C0227,Individual,Rachel,Evans,12-23-1943,F,USA,Arizona,Home,5,Yes,Website
C0228,Individual,Hannah,Owens,12-23-1951,F,USA,Oregon,Investment,4,No,Website
C0229,Individual,Jose,Turner,12-19-1980,M,USA,Colorado,Investment,5,No,Website
C0230,Company,Forsyte,Co,12-22-1976,M,USA,Nevada,Investment,4,Yes,Website
C0231,Individual,Ronald,Rogers,12-18-1992,M,Denmark,Central Denmark,Investment,2,Yes,Website
C0232,Individual,Megan,Kim,04-05-1962,F,USA,California,Home,3,Yes,Website
C0233,Individual,Larry,Garcia,10-09-1997,M,France,Provence,Home,4,Yes,Website
C0234,Individual,Andrea,Hughes,02-03-1979,F,USA,New York,Home,1,Yes,Website
C0235,Individual,Kenneth,Allen,10-10-1949,M,USA,California,Home,5,No,Website
C0236,Individual,Gerald,Howard,10-08-1972,M,Canada,Manitoba,Home,3,No,Agency
C0237,Individual,Jason,Nelson,03-11-1984,M,USA,California,Home,5,Yes,Website
C0238,Individual,Amber,Patterson,08-01-1982,F,USA,Virginia,Home,4,Yes,Agency
C0239,Individual,Megan,Baker,12-18-1972,F,USA,Oregon,Home,3,Yes,Website
C0240,Individual,Amber,Morales,12-15-1941,F,USA,Colorado,Investment,3,No,Website
C0241,Individual,Kelly,Anderson,12-14-1961,F,Mexico,Nuevo Leon,Home,5,Yes,Website
C0242,Individual,Stephen,Peterson,12-16-1997,M,USA,Utah,Home,3,Yes,Agency
C0243,Individual,Nancy,Patterson,11-07-1978,F,USA,Utah,Home,2,No,Website
C0244,Individual,Joyce,Pierce,03-08-1998,F,USA,California,Home,1,No,Website
C0245,Individual,Sean,Long,07-01-1974,M,USA,Nevada,Investment,4,No,Agency
C0246,Individual,Stephen,Pierce,12-15-1991,M,France,Normandy,Home,1,Yes,Agency
C0247,Individual,Kevin,Morris,12-18-1964,M,USA,California,Home,1,No,Website
C0248,Individual,Carl,Collins,09-12-1968,M,USA,Florida,Home,4,Yes,Agency
C0249,Individual,Stephanie,Montgomery,05-12-1968,F,USA,California,Investment,4,No,Agency
C0250,Individual,Justin,Stewart,12-19-1946,M,UK,England,Home,2,No,Agency
C0251,Individual,Janice,Chavez,11-08-1976,F,USA,Utah,Home,5,No,Website
C0252,Individual,Elizabeth,Rogers,12-23-1952,F,USA,Nevada,Investment,2,No,Website
C0253,Individual,Betty,Hughes,12-15-1993,F,USA,Virginia,Home,4,No,Website
C0254,Individual,Rachel,Freeman,12-21-1955,F,USA,Florida,Home,5,No,Website
C0255,Individual,Sara,Jones,08-02-1961,F,UK,England,Investment,3,Yes,Client
C0256,Individual,Anthony,Hughes,10-12-1990,M,USA,California,Home,1,Yes,Website
C0257,Individual,Nicholas,Kim,12-22-1973,M,USA,California,Home,1,No,Website
C0258,Individual,Carl,Murray,12-15-1990,M,UK,Northern Ireland,Home,4,Yes,Agency
C0259,Individual,Emma,Chavez,12-15-1989,F,USA,Oregon,Home,4,No,Website
C0260,Individual,Rebecca,Wood,04-08-1946,F,USA,Nevada,Investment,3,No,Website
C0261,Company,Celera,Co,12-13-1984,F,USA,Florida,Investment,4,Yes,Website
C0262,Individual,Billy,Bryant,12-25-1946,M,USA,Oregon,Home,2,No,Website
C0263,Individual,Anthony,Garcia,02-08-1981,M,USA,Nevada,Investment,2,Yes,Website
C0264,Individual,Melissa,Baker,12-09-1992,F,USA,Colorado,Home,2,Yes,Agency
C0265,Company,Celera,Co,12-13-1966,M,Belgium,Flanders,Home,1,No,Website
C0266,Individual,Aaron,Owens,12-26-1976,M,USA,California,Home,5,Yes,Agency
C0267,Individual,Judy,Howard,12-11-1948,F,USA,Utah,Home,4,Yes,Agency
C0268,Individual,Danielle,Carter,12-21-1958,F,USA,Georgia,Investment,3,No,Website
C0269,Individual,David,Stewart,04-02-1969,M,USA,New York,Home,2,No,Agency
C0270,Individual,Megan,Allen,12-21-1943,F,USA,Florida,Home,5,No,Website
C0271,Individual,Laura,Hughes,12-28-1971,F,USA,California,Investment,3,No,Agency
C0272,Individual,Pamela,Green,03-08-1993,F,UK,Scotland,Home,5,Yes,Website
C0273,Individual,Paul,Morales,12-27-1986,M,Denmark,Zealand,Investment,2,No,Website
C0274,Individual,Raymond,Young,01-10-1950,M,USA,Florida,Home,2,No,Website
C0275,Individual,William,Thompson,12-26-1999,M,USA,Oregon,Home,1,Yes,Website
C0276,Individual,Gloria,Harris,12-16-1952,F,USA,Washington,Home,5,No,Website
C0277,Individual,Jordan,Garcia,12-17-1953,M,USA,Colorado,Investment,1,Yes,Agency
C0278,Individual,Margaret,Foster,03-08-1955,F,USA,California,Investment,2,Yes,Website
C0279,Individual,Heather,Montgomery,12-15-1966,F,USA,Oregon,Home,1,No,Website
C0280,Individual,Nathan,Price,12-14-1943,M,USA,Florida,Home,4,No,Client
C0281,Individual,Katherine,Phillips,12-22-1976,F,USA,California,Home,1,Yes,Agency
C0282,Individual,Emily,Owens,12-18-1996,F,USA,California,Investment,1,No,Website
C0283,Individual,Susan,Edwards,12-05-1962,F,USA,Arizona,Home,2,Yes,Agency
C0284,Individual,Patrick,Owens,12-25-1976,M,USA,Arizona,Home,4,No,Client
C0285,Individual,Billy,Parker,09-03-1999,M,France,Ile-de-France,Investment,3,No,Website
C0286,Individual,Noah,Brooks,12-24-1995,M,UK,Scotland,Home,1,No,Agency
C0287,Individual,Joan,Bell,10-06-1990,F,Australia,New South Wales,Home,5,No,Website
C0288,Individual,Kevin,Freeman,03-11-1997,M,USA,Colorado,Investment,4,No,Agency
C0289,Individual,Laura,Hayes,12-14-1992,F,USA,California,Investment,5,No,Agency
C0290,Individual,Ryan,Watson,01-01-1962,M,USA,California,Home,2,No,Website
C0291,Individual,James,Bryant,06-07-1953,M,USA,Nevada,Home,2,No,Agency
C0292,Individual,Karen,Watson,02-12-1945,F,USA,California,Home,1,No,Agency
C0293,Individual,Ruth,Collins,01-07-1993,F,USA,California,Investment,4,No,Website
C0294,Individual,Nicholas,Reyes,12-17-1962,M,USA,Nevada,Home,3,Yes,Website
C0295,Individual,Roger,Harris,07-09-1967,M,Russia,Tatarstan,Home,3,No,Agency
C0296,Individual,Mark,Young,06-04-1984,M,Canada,Manitoba,Home,1,Yes,Client
C0297,Individual,Julia,Murray,12-19-1971,F,UK,Wales,Investment,5,No,Agency
C0298,Individual,Sarah,Patterson,10-11-1972,F,USA,Oregon,Home,3,No,Website
C0299,Individual,Barbara,Davis,03-05-1977,F,UK,Wales,Home,5,No,Agency
C0300,Individual,Zachary,Peterson,11-04-1959,M,Canada,Alberta,Home,5,Yes,Website
C0301,Individual,Lisa,Alexander,02-03-1959,F,USA,Virginia,Home,4,No,Agency
C0302,Individual,Maria,Edwards,12-25-1975,F,USA,Utah,Investment,1,No,Agency
C0303,Individual,Betty,Owens,10-07-1957,F,USA,Virginia,Investment,5,Yes,Website
C0304,Individual,Patrick,Morris,12-22-1958,M,USA,California,Investment,1,No,Agency
C0305,Individual,Emily,Kim,12-22-1994,F,USA,Arizona,Home,1,No,Website
C0306,Individual,Samuel,Foster,05-04-1988,M,USA,California,Home,1,No,Client
C0307,Individual,Samuel,Freeman,12-13-1991,M,USA,California,Home,5,Yes,Client
C0308,Individual,Catherine,Roberts,10-10-1972,F,Belgium,Flanders,Investment,4,Yes,Agency
C0309,Individual,Stephanie,Cox,12-15-1956,F,USA,Washington,Home,4,No,Agency
C0310,Individual,Edward,Weaver,02-05-1992,M,UK,Northern Ireland,Home,3,No,Website
C0311,Individual,Justin,Anderson,09-03-1952,M,USA,Georgia,Home,2,No,Website
C0312,Individual,Zachary,Cooper,12-14-1940,M,USA,Nevada,Home,3,Yes,Website
